date,portfolio_value,capital,withdrawn,total_value,cot_stance,cot_composite,peak,drawdown,returns
2021-08-06,71946.87070846558,35960.806941986084,23063.289463043213,95010.16017150879,NEUTRAL,0,103858.29907608032,-8.519433673846244,-0.00028498043897362546
2021-08-09,71950.33518600464,35960.806941986084,23063.289463043213,95013.62464904785,NEUTRAL,0,103858.29907608032,-8.51609790042238,3.646428479653352e-05
2021-08-10,71849.21622848511,35960.806941986084,23063.289463043213,94912.50569152832,NEUTRAL,0,103858.29907608032,-8.613460324435751,-0.001064257446161343
2021-08-11,71596.00367355347,35856.65463638306,23186.03583908081,94782.03951263428,NEUTRAL,0,103858.29907608032,-8.739079730929667,-0.0013745941901277536
2021-08-12,71610.46966934204,35856.65463638306,23186.03583908081,94796.50550842285,NEUTRAL,0,103858.29907608032,-8.725151141768029,0.00015262380787506302
2021-08-13,71616.29425811768,35856.65463638306,23186.03583908081,94802.33009719849,NEUTRAL,0,103858.29907608032,-8.719542934405256,6.144307476740885e-05
2021-08-16,71599.79259109497,35856.65463638306,23186.03583908081,94785.82843017578,NEUTRAL,0,103858.29907608032,-8.735431570334685,-0.0001740639392068255
2021-08-17,71387.53308868408,35856.65463638306,23186.03583908081,94573.56892776489,NEUTRAL,0,103858.29907608032,-8.939805707307025,-0.0022393590468774427
2021-08-18,70404.81606292725,35248.63826751709,23243.720211029053,93648.5362739563,NEUTRAL,0,103858.29907608032,-9.83047372520993,-0.009781090682060789
2021-08-19,70599.92736816406,35248.63826751709,23243.720211029053,93843.64757919312,NEUTRAL,0,103858.29907608032,-9.642610735951951,0.002083442123067991
2021-08-20,70832.90155029297,35248.63826751709,23243.720211029053,94076.62176132202,NEUTRAL,0,103858.29907608032,-9.418291462286355,0.0024825780768198413
2021-08-23,70646.43351745605,35248.63826751709,23243.720211029053,93890.15372848511,NEUTRAL,0,103858.29907608032,-9.59783227365697,-0.0019820868282238724
2021-08-24,70438.52354431152,35248.63826751709,23243.720211029053,93682.24375534058,NEUTRAL,0,103858.29907608032,-9.798018464836765,-0.0022143959178698713
2021-08-25,70374.43801116943,35227.63205718994,23268.909366607666,93643.3473777771,NEUTRAL,0,103858.29907608032,-9.835469855731382,-0.00041519476908624675
2021-08-26,70162.37163162231,35227.63205718994,23268.909366607666,93431.28099822998,NEUTRAL,0,103858.29907608032,-10.039658044286027,-0.0022646176742443513
2021-08-27,70582.75456619263,35227.63205718994,23268.909366607666,93851.6639328003,NEUTRAL,0,103858.29907608032,-9.634892187045907,0.004499381043253425
2021-08-30,70530.09602737427,35227.63205718994,23268.909366607666,93799.00539398193,NEUTRAL,0,103858.29907608032,-9.68559447977244,-0.0005610826341455599
2021-08-31,70418.18905258179,35227.63205718994,23268.909366607666,93687.09841918945,NEUTRAL,0,103858.29907608032,-9.793344150032791,-0.0011930507612787355
2021-09-01,70072.26435470581,35124.64214324951,23321.77402114868,93394.03837585449,NEUTRAL,0,103858.29907608032,-10.075517116412957,-0.0031280725764790684
2021-09-02,70154.91068649292,35124.64214324951,23321.77402114868,93476.6847076416,NEUTRAL,0,103858.29907608032,-9.995941066619796,0.0008849208495997907
2021-09-03,70057.60228347778,35124.64214324951,23321.77402114868,93379.37630462646,NEUTRAL,0,103858.29907608032,-10.089634496880828,-0.0010409911660803628
2021-09-07,69800.3662185669,35124.64214324951,23321.77402114868,93122.14023971558,NEUTRAL,0,103858.29907608032,-10.337314332964464,-0.002754741733032362
2021-09-08,70017.03335571289,35124.64214324951,23321.77402114868,93338.80737686157,NEUTRAL,0,103858.29907608032,-10.128696303328443,0.0023266984262630963
2021-09-09,69246.48397064209,34701.09248352051,23321.77402114868,92568.25799179077,NEUTRAL,0,103858.29907608032,-10.870620051286561,-0.008255402085433294
2021-09-10,68901.40770339966,34701.09248352051,23321.77402114868,92223.18172454834,NEUTRAL,0,103858.29907608032,-11.202876857254129,-0.003727803403981489
2021-09-13,68913.34698867798,34701.09248352051,23321.77402114868,92235.12100982666,NEUTRAL,0,103858.29907608032,-11.191381112200983,0.00012946078258257998
2021-09-14,68822.37972640991,34701.09248352051,23321.77402114868,92144.1537475586,NEUTRAL,0,103858.29907608032,-11.278968972850834,-0.0009862540567207034
2021-09-15,68980.8498878479,34701.09248352051,23321.77402114868,92302.62390899658,NEUTRAL,0,103858.29907608032,-11.126385921859505,0.0017198070088324524
2021-09-16,68682.43003845215,34377.162422180176,23344.678150177002,92027.10818862915,NEUTRAL,0,103858.29907608032,-11.391666330664973,-0.002984917532128595
2021-09-17,68378.7148513794,34377.162422180176,23344.678150177002,91723.3930015564,NEUTRAL,0,103858.29907608032,-11.68409860596179,-0.0033002795920765715
2021-09-20,67567.15160369873,34377.162422180176,23344.678150177002,90911.82975387573,NEUTRAL,0,103858.29907608032,-12.465512566040381,-0.008847941851288565
2021-09-21,67613.83711242676,34377.162422180176,23344.678150177002,90958.51526260376,NEUTRAL,0,103858.29907608032,-12.420561407448972,0.0005135251248866712
2021-09-22,68257.35282897949,34377.162422180176,23344.678150177002,91602.0309791565,NEUTRAL,0,103858.29907608032,-11.80095207215518,0.007074826526080047
2021-09-23,68793.22635269165,34449.131019592285,23510.80791091919,92304.03426361084,NEUTRAL,0,103858.29907608032,-11.125027961420319,0.007663621395185949
2021-09-24,68982.54694747925,34449.131019592285,23510.80791091919,92493.35485839844,NEUTRAL,0,103858.29907608032,-10.94274055976655,0.0020510543910454704
2021-09-27,69611.52880477905,34449.131019592285,23510.80791091919,93122.33671569824,NEUTRAL,0,103858.29907608032,-10.337125155995054,0.006800292391412777
2021-09-28,69237.55151367188,34449.131019592285,23510.80791091919,92748.35942459106,NEUTRAL,0,103858.29907608032,-10.697209323013068,-0.004015978381738061
2021-09-29,69257.75173950195,34449.131019592285,23510.80791091919,92768.55965042114,NEUTRAL,0,103858.29907608032,-10.677759528427778,0.00021779604464589042
2021-09-30,68201.59127616882,34184.70685386658,23688.916109085083,91890.5073852539,NEUTRAL,0,103858.29907608032,-11.523192462510423,-0.009464976803304825
2021-10-01,68856.22797203064,34184.70685386658,23688.916109085083,92545.14408111572,NEUTRAL,0,103858.29907608032,-10.892875288355397,0.007124094909142675
2021-10-04,68858.455286026,34184.70685386658,23688.916109085083,92547.37139511108,NEUTRAL,0,103858.29907608032,-10.890730718287166,2.4067324303933546e-05
2021-10-05,69197.73610115051,34184.70685386658,23688.916109085083,92886.6522102356,NEUTRAL,0,103858.29907608032,-10.564054065441187,0.0036660232485266064
2021-10-06,69119.07946586609,34184.70685386658,23688.916109085083,92807.99557495117,NEUTRAL,0,103858.29907608032,-10.639788634545578,-0.0008468023490221244
2021-10-07,69552.6604385376,34812.42701339722,24316.636268615723,93869.29670715332,NEUTRAL,0,103858.29907608032,-9.617914464023391,0.011435449344933346
2021-10-08,69965.39043045044,34812.42701339722,24316.636268615723,94282.02669906616,NEUTRAL,0,103858.29907608032,-9.220517245327853,0.00439685825281555
2021-10-11,69711.94272232056,34812.42701339722,24316.636268615723,94028.57899093628,NEUTRAL,0,103858.29907608032,-9.464549460744953,-0.002688186889945099
2021-10-12,69648.93474578857,34812.42701339722,24316.636268615723,93965.5710144043,NEUTRAL,0,103858.29907608032,-9.525216713234641,-0.000670093892815915
2021-10-13,69596.78464126587,34812.42701339722,24316.636268615723,93913.42090988159,NEUTRAL,0,103858.29907608032,-9.575429459819784,-0.000554991620438372
2021-10-14,70153.64381217957,35111.046087265015,24615.25534248352,94768.89915466309,NEUTRAL,0,103858.29907608032,-8.751731929249962,0.009109222478461243
2021-10-15,70424.80091285706,35111.046087265015,24615.25534248352,95040.05625534058,NEUTRAL,0,103858.29907608032,-8.490648218954588,0.002861245652278299
2021-10-18,70569.79880332947,35111.046087265015,24615.25534248352,95185.05414581299,NEUTRAL,0,103858.29907608032,-8.351036948827595,0.001525650301414494
2021-10-19,70730.01107215881,35111.046087265015,24615.25534248352,95345.26641464233,NEUTRAL,0,103858.29907608032,-8.196776509118308,0.001683166230949551
2021-10-20,70911.9618358612,35111.046087265015,24615.25534248352,95527.21717834473,NEUTRAL,0,103858.29907608032,-8.021585151931621,0.0019083355739037966
2021-10-21,70823.15026283264,35452.46994972229,24956.679204940796,95779.82946777344,NEUTRAL,0,103858.29907608032,-7.77835731970643,0.0026444012176873866
2021-10-22,71056.94655036926,35452.46994972229,24956.679204940796,96013.62575531006,NEUTRAL,0,103858.29907608032,-7.553246481558229,0.0024409762351402797
2021-10-25,71507.90391731262,35452.46994972229,24956.679204940796,96464.58312225342,NEUTRAL,0,103858.29907608032,-7.119042021293565,0.0046968059314063115
2021-10-26,71588.37825965881,35452.46994972229,24956.679204940796,96545.05746459961,NEUTRAL,0,103858.29907608032,-7.041557272301824,0.0008342371857266162
2021-10-27,71068.77301979065,35452.46994972229,24956.679204940796,96025.45222473145,NEUTRAL,0,103858.29907608032,-7.541859361292835,-0.00538199731310629
2021-10-28,71401.33133506775,35769.638303756714,25273.84755897522,96675.17889404297,NEUTRAL,0,103858.29907608032,-6.916269807938447,0.00676619223610575
2021-10-29,71211.12505912781,35769.638303756714,25273.84755897522,96484.97261810303,NEUTRAL,0,103858.29907608032,-7.099409988003025,-0.0019674778791815006
2021-11-01,71659.11987113953,35769.638303756714,25273.84755897522,96932.96743011475,NEUTRAL,0,103858.29907608032,-6.6680580248021375,0.00464315633673773
2021-11-02,71575.63627433777,35769.638303756714,25273.84755897522,96849.48383331299,NEUTRAL,0,103858.29907608032,-6.748440235510788,-0.0008612508108961636
