date,equity,cash,positions,market_mode,daily_return,cummax,drawdown
2025-01-22,18138.128547668457,404.87783432006836,8,NEUTRAL,-0.006617000363282943,18642.694709777832,-2.7065087422406653
2025-01-23,18257.955039978027,404.87783432006836,8,NEUTRAL,0.006606331628682405,18642.694709777832,-2.0637556736795903
2025-01-24,18237.984706878662,404.87783432006836,8,NEUTRAL,-0.0010937880532424504,18642.694709777832,-2.1708771677031447
2025-01-27,18126.902992248535,446.54882431030273,8,NEUTRAL,-0.006090679228842211,18642.694709777832,-2.7667229741136667
2025-01-28,18013.96799468994,446.54882431030273,8,NEUTRAL,-0.006230242287217358,18642.694709777832,-3.3725098483650684
2025-01-29,17982.22200012207,446.54882431030273,8,NEUTRAL,-0.0017622988215161284,18642.694709777832,-3.5427963603853474
2025-01-30,18137.374671936035,446.54882431030273,8,NEUTRAL,0.008628114579661617,18642.694709777832,-2.7105525553490106
2025-01-31,18007.831378936768,2584.80318069458,7,NEUTRAL,-0.007142339800682906,18642.694709777832,-3.4054268480193883
2025-02-03,17997.196308135986,360.62407302856445,8,NEUTRAL,-0.0005905803190283665,18642.694709777832,-3.46247370184789
2025-02-04,17975.14213180542,360.62407302856445,8,NEUTRAL,-0.001225422891041994,18642.694709777832,-3.5807729964182133
2025-02-05,18068.13938522339,360.62407302856445,8,NEUTRAL,0.005173658863782737,18642.694709777832,-3.0819328079920605
2025-02-06,18108.013061523438,360.62407302856445,8,NEUTRAL,0.002206850160380025,18642.694709777832,-2.8680491558656596
2025-02-07,18031.119190216064,360.62407302856445,8,NEUTRAL,-0.004246400256401439,18642.694709777832,-3.2805102968349598
2025-02-10,18092.76975250244,410.3526802062988,8,NEUTRAL,0.003419120113177909,18642.694709777832,-2.949814744254553
2025-02-11,18161.607566833496,410.3526802062988,8,NEUTRAL,0.003804713997509035,18642.694709777832,-2.5805665459511684
2025-02-12,18097.236045837402,410.3526802062988,8,NEUTRAL,-0.0035443735230601403,18642.694709777832,-2.9258574065172294
2025-02-13,18254.822666168213,410.3526802062988,8,NEUTRAL,0.008707772829600557,18642.694709777832,-2.0805578251849255
2025-02-14,18226.60133743286,410.3526802062988,8,NEUTRAL,-0.0015459656470755423,18642.694709777832,-2.2319379189679855
2025-02-18,18333.889110565186,323.8314399719238,8,NEUTRAL,0.00588632906080977,18642.694709777832,-1.6564429339213649
2025-02-19,18374.96720123291,323.8314399719238,8,NEUTRAL,0.0022405552046267374,18642.694709777832,-1.436098765295457
2025-02-20,18336.832439422607,323.8314399719238,8,NEUTRAL,-0.002075364891412912,18642.694709777832,-1.6406548254786602
2025-02-21,18174.169757843018,4597.6622886657715,6,NEUTRAL,-0.008870816817297178,18642.694709777832,-2.5131825587911383
2025-02-24,18212.620609283447,441.5149230957031,8,NEUTRAL,0.002115686821063001,18642.694709777832,-2.306930983903399
2025-02-25,18183.30791091919,441.5149230957031,8,NEUTRAL,-0.0016094717500081401,18642.694709777832,-2.4641652186564
2025-02-26,18122.83949661255,441.5149230957031,8,NEUTRAL,-0.0033254903124820823,18642.694709777832,-2.788519692341618
2025-02-27,18000.906925201416,2435.4422912597656,7,NEUTRAL,-0.006728116277469831,18642.694709777832,-3.4425698353565126
2025-02-28,18218.5354347229,2435.4422912597656,7,NEUTRAL,0.012089863606638662,18642.694709777832,-2.275203674458426
2025-03-03,18143.47188949585,264.0475196838379,8,NEUTRAL,-0.004120174505574448,18642.694709777832,-2.677846888841384
2025-03-04,17860.377895355225,2437.947193145752,7,NEUTRAL,-0.015603077286686307,18642.694709777832,-4.196371965541513
2025-03-05,17927.442684173584,2437.947193145752,7,NEUTRAL,0.0037549479194278756,18642.694709777832,-3.8366343317798868
2025-03-06,17765.536380767822,4593.38383102417,6,NEUTRAL,-0.009031199053766481,18642.694709777832,-4.705104828809715
